producto,categoria,seccion,linea,abastecimiento,negocio
REPOLLO CRESPO ENVASADO UND,CRUCIFERAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
YOGUR SEMIDES FRUTILLA CARS CALAN 110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CUCHUFLI PELAYO MANJAR BAÑADO CHOCO 750G,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
LONGANIZA WINTER 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
HARINA SOMOL PANADERA POLI 50 KGS,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT BA S/LACT NESTLE 120 GR, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MOLIDA MEXICANA PAVO SOPRAVAL 470 GRS,PAVO ENVASADO,CARNES,PAVO,Directo,PERECIBLES
"CHIQUITIN NESTLE 45 GR, FRUTILLA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GANSO VACUNO PORC KG.,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
POROTOS TORTOLA SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CUCHUFLI PELAYO RELLENO CON MANJAR 500GR,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
DET POLVO ACE ULTRA MATIC 3KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MORTADELA JAMONADA DE AVE PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PIÑA IMPORTADA CALIB. 7,TROPICALES,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
ESTUCHE CAREZZA DOBLE TWIST COSTA 158 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LENTEJAS 5 MM SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT 1+1 SIN LACTOSA 13, CHOCOKRISPIS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TE ROYAL CEYLON LIPTON 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA BANDEJA BON O BON 95 GRS,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGH GRIEGO TROZ NESTLE 11, FRUTOS ROJOS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK BEB/LACTEA MULTIFRUTA UNO 6X80 ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
POSTA NEGRA VAC GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
MORTADELA JAMONADA POLLO WINTER 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JUREL COLISEO 425 GRS,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"CHANDELLE NESTLE 130GR., CHOCOLATE",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CHOCOLATE BARRITA FRUTILLA ORLY 25 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GUAGUITAS                500   GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ARROZ G2 LARGO LOS CHINOS 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CANUTOS MERKAT 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TALLARINES 77 SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SALCHICHA TRADICIONAL MONTINA 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MORTADELA JAMONADA,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TALLARINES LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
VIENESA TRADICIONAL TIL 900 GRS,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA DE PAVO COCIDA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ESPIRALES MERKAT 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PIMIENTON ROJO UN.,SOLANACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
JAMON PRAGA ACARAM. SJ KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PIZZETA QUESO JAMON SAN JORGE 288 GR,COMIDAS TERCEROS PLATOS PREPARADOS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
GALLETA HOLANDA BOCADITO DEU 300 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LENTEJAS 6 MM SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LECHE POLVO INST 26% MG CALO SB 900 GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LOMO LISO VACUNO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
MAYONESA HELLMANNS DP 930 GR,MAYONESAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ G1 MIRAFLORES LARGO 500 GR,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
OSOBUCO PAVO SOPRAVAL GRANEL 1 KILO,PAVO GRANEL,CARNES,PAVO,Directo,PERECIBLES
MARSHMALLOW MORF TRAD VAIN ARCOR 220 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MORTADELA JAMONADA DE PAVO PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TRUTRO MIXTO POLLO ARIZTIA IQF 1 KG,POLLO ENVASADO,CARNES,POLLO,Directo,PERECIBLES
LECHE CHOCOLATE SOPROLE 200 CC,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
CREMA LARGA VIDA LA LECHERA NESTLE 1 LT,CREMAS UHT Y CREMAS FRESCAS,LACTEOS,CREMAS,Directo,PERECIBLES
DET POLVO ARIEL ULTRA MATIC 3KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
ASADO CARNI IMP VAC VCO,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
PAÑAL BABYSEC PLUS XXG 24 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
TORTILLAS MEXICANA PANCHO VILLA 350 GRS,MASAS Y PASTAS FRESCAS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
PASTA LUCCHETTI RIGATI 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
RIGATONI PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BEBIDA ENERGETICA RED BULL 355 CC,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
JAMON AHUMADO-PAVO WINTER 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GOLPE DIS 30 X 36 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MINI MALVA YUPANQUI 200 UN,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON DE PAVO COCIDO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PAÑAL BABYSEC ULTRA XXG 28 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
"PACK YOGHURT CON CEREAL 5, CHOCOPIC+MILO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT BATIDO SVELTY 120 GRS, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TORTA SELVA NEGRA LAF 15PP,TORTAS,PASTELERIA,PASTELERIA FRESCA,Directo,PRODUCCION
"YOG.BOLSA ACTIVIA 1 KG., FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PASTA COLGATE TRIPLE ACCION 3X2 99GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
ARROZ PREGRANEADO G1 BONANZA 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
VIENESA PAVO SAN JORGE 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SALCHICHA DE PAVO PF 1 KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MARSHMALLOWS COLOR 400 GR.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SPAGHETTI Nº5 PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHORIZO SUPER CERDO 1 KG.,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ACEITE VEGETAL BELMONT 1 LT,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DET POLVO OMO MATIC MULTIACCION 3.8KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
FIDEOS 100 TRIGO SPAGHETTI 5 MALLOA 400G,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA CEREALITA ARROZ,PRODUCTOS NATURALES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIM CACHORRO PEDIGREE 9K,ALIMENTO CACHORRO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
PAÑAL BABYSEC PLUS XXG 32UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
"YOGHURT BATIDO SVELTY 120 GRS, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ACEITE VEGETAL MERKAT 5 LT,ACEITE,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LECHE LARGA VIDA SOPROLE 1 LT S/TAPA,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
QUESO GAUDA SOPROLE PIEZA KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
PECHUGA POLLO AHUMADA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
NESTLE LECHE TRENCITO 200 CC,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
PIZZA 4 CARNES SAN JORGE 520 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
TABLETA BON O BON LECHE ARCOR 125 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SALCHICHON CERVEZA PF 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JAMON AHUMADO SUPER CERDO G2 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
FOSFOROS COPIHUE 10 UN,FOSFOROS,BAZAR,ILUMINACION,Centralizado,NON FOOD
PASTA LUMINOUS WHITE COLGATE 180 GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
FIDEOS 100 TRIGO ESPIRAL MALLOA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
JUREL MEDALLONES AL NATURAL SAN JOSE 425,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ARROZ G2 LARGO GRANEADO TUCAPEL 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MARGARINA SOPROLE MIX C/MANTEQ 500 GR,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
CANUTOS LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOG.+CEREAL C/CUCHARA NESTLE 14, ZUCOSOS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
JAMON PIERNA SUPER CERDO G2,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ACELGA UNIDAD,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
BOLSA BASURA SUPERIOR 10 UN 80 X 120,BOLSAS BASURA,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
BOMBOM VIZZIO COSTA DISPLAY 45UN,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
COCA COLA LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
LECHE DESCREMADA SOPROLE 1 LT,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
MOSTAZA TRAVERSO 500GR. DOY PACK,SALSAS VARIAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BOLON CHOC BOLSA PELAYO 200GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SALCHICHA TRADICIONAL PF 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JAMON ACARAMELADO SAN JORGE Kg.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARVEJAS SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TRENZA RUSA UND,PASTELERIA SECA,PASTELERIA,PASTELERIA FRESCA,Directo,PRODUCCION
"YOG. NESTLE BATIDO 120 GRS, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PERA PACKAM KILO,POMACEAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
MORTADELA FINA P.F.1 KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
QUESILLO ZERO LACTO SOPROLE 300 GRS,QUESOS FRESCOS ENVASADOS,QUESOS Y HUEVOS,QUESOS FRESCOS,Directo,PERECIBLES
ARROLLADO LOMO CON ALIÑO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GARBANZOS S/PIEL SELECTA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHOCOLATE BARRITA ALMENDRA ORLY 25 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ALIM PERRO CARNE&POLLO&C PEDIGREE 15K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
MARSHMALLOW MORF TRENZ VAIN ARCOR 220 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT SOPROLE GOLD 165 G, FRUTOS SECOS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PSTA PALETA VAC GRA KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
YOG. BATIFRUT AMERICANO FRUTILLA 155 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT BA S/LACT NESTLE 120 G, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TRUTRO ALA PAVO SOPRAVAL 1 KILO.,PAVO GRANEL,CARNES,PAVO,Directo,PERECIBLES
SALCHICHON CERVECERO ESPECIAL PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
AMPOLLETA ESPIRAL 20W 5000HRS BLITZ,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
QUESO MANT PIEZA BL QUILQUE KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
"YOGHURT BATIDO SOPROLE 120 GR., DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CHOCOLATE MANI TIFANYS DEU 22 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PASTA TR ACCION EX WHITE COLGATE 136.5GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
PASTA FRESCA GNOCCHI PAPA CHEF 500 GR,MASAS Y PASTAS FRESCAS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
FIAMBRE JAMON SANDWICH AVE KING 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
HARINA C/POLVO DON QUIJOTE 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DECORADOR DE TORTA 5 BOQUILLAS,UTENSILIOS REPOSTERIA,MENAJE,REPOSTERIA,Centralizado,NON FOOD
PALTA HASS MALLA 1 KG,OTRAS FRUTAS,FRUTAS Y VERDURAS,FRUTAS,Centralizado,PERECIBLES
PECHUGA PAVO COCIDA WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MORTADELA LISA WINTER 1 KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TE CEYLAN EMBLEM 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SPAGHETTI Nº5 SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
JAMON ARTESANAL SUPER CERDO G2 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ESPIRALES SALSA BOLOGNESA POR GUSTO 230G,COMIDAS TERCEROS PLATOS PREPARADOS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
SALSA ITALIANA MALLOA 900 GR,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
FLAN SOPROLE VAINILLA 120 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ARROZ G2 IMPORTADO BONANZA 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LAVALOZAS LIMON DP VIRGINIA 1.5 LT,LAVALOZAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
"NECTAR WATTS LIGHT 200 CC, DURAZNO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
POROTOS COSCORRON PRODUCTOS DIAZ 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
YOGHURT CALAN SURTIDO 12X110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"JALEA NESTLE 110GR, PIÑA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SALSA D POLLO CHEDDAR C/ARROZ POR G 250G,COMIDAS TERCEROS PLATOS PREPARADOS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
LAMINAS FRITAS ORIGINAL KRYZPO 40G,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT BATIDO SURLAT KIDS 125, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TAPAPECHO VACUN PORC KG.,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
"GALLETA NIK COSTA 71GR, FRUTILLA",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMONADA PAVO SAN JORGE 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PIZZA FAMILIAR ESPAÑOLA MERKAT 452 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
ARROZ G2 LARGO LAMIN MIRAFLORES 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LECHE S/LACTOSA DESCREM LONCO 1 LT,LECHES ESPECIALES,LACTEOS,LECHES,Directo,PERECIBLES
"YOGHURT ACTIVIA 120 GR., FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CEBOLLA GRANEL KG.,BULBOS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
PH CONFORT 50MT X 6,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
CHORIZO PARRILLERO TIL 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHORIZO MERKAT 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CORBATAS PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BEB COOL BLUE GATORADE 500 CC,BEBIDAS FUNCIONALES,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
TOMATE MALLA 1 KG,SOLANACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
"YOGHURT SOPROLE BATIFRUT 165 GR, PIÑA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LONGANIZA SUPER CERDO 1 KG.,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MORTADELA JAMONADA WINTER  KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ZAPALLO ITALIANO UN,CUCURBITACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
CAFE INSTANTANEO MONTERREY 170 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"JALEA NESTLE 110GR, NARANJA",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PEPINO ENSALADA UN,CUCURBITACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
HARINA S/POLVO MERKAT 1 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
DOBLON BOLSA COSTA 30 UND,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT TRO LIGHT DA, FRUTILLA FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CIRUELAS D'AGEN S/CAROZO MERKAT 300 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
AZUCAR GRANULADA MERKAT 50 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
YOGURT SEMIDE CALAN PACK 12X110 GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
POROTOS HALLADOS MERKAT 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
HARINA MARIPOSA PAPEL 10KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PACK SALSA MALLOA TOM. 6*200GR ITALIANA,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PH NOBLE FAJILLA UH 50MT X 12,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
MANJAR NESTLE 500 GRS.,MANJAR BOLSA,LACTEOS,MANJAR,Directo,PERECIBLES
PAPA FRITA KRYZPO ORIGINAL 80 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
NESCAFE INSTANTANEO TRADICION TR 170 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PURE MERKEN C/TROC POLLO ALCAFOOD 47 GR,PURE DE PAPAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT BATIDO SVELTY 120 GRS, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
MORTADELA JAMONADA PAVO WINTER 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA ENT.POLLO SUPERPOLLO GRANEL KIL,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
CILANTRO UND.,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
PAÑAL PREMIUM BABYSEC XG 32 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
JAMON PRAGA G2 WINTER 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOGHURT BATIDO SOPROLE 120 GR., FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"MINISHOT CON PROBIOTICO CALAN 5, MANZANA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESO RUMAY GAUDA/BAR KG.,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
ARROZ G2 LARGO SELECCION TUCAPEL 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
NEGRITA COLEGIAL HUCKE 30 GRS,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"MINISHOT CON PROBIOTICO CALA, MULTIFRUTA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CALUGAS SUNY CALAF 400 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YERBA MATE CLASICA DOÑA JAVIERA 500 GR,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TALLARINES 97 MEDIANO PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ENDULZANTE SUCRALOSA DAILY 300 TAB,ENDULZANTES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MORTADELA ALEMANA SAN JORGE KILO.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
YERBA MATE TRADICION DOÑA JAVIERA 1 KG,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
